relative_path,size_bytes,sha256
README.md,3644,2b7e2df57055904b75f743dcb4fc6940629793ae3302bf3ea249d30d8c924060
RELEASE_BUILD_AUDIT.json,1013,f81795d26709fb45954140d3e2dd758455b0209ac28a3981cbf7cd1ac3cbb938
analysis/analysis_audit.json,8199,7ecd6888ce8024711e4ff65f1ed423dafb697d8473fa2e0ed15107241ee81acf
analysis/canonical_judge_scores_long.csv,2945071,8efb77cfec7db47dd340702bb65a9467f90673e3040a00ccce3254d9d0b4fa6d
analysis/canonical_judge_scores_wide.csv,254150,17047b6316d85035a922682cd4c1340240bd150c489f9933e4b4954ce519b763
analysis/canonical_scores.csv,3994204,e98e1f15d01f202fb87842da859a3eb156869fea51c2d018280bd7f99b4002c1
analysis/case_challenge_map.csv,18739,6ba461fbcd6f800dc5c440449b4fd321b1da13e36921f1bb8c6b0ec06ba43e97
analysis/case_contract_burden_profile.csv,13649,ee3e6bb3bcd0d7589e251334e50686025435ba3529368595311e38d09995e142
analysis/case_level_summary.csv,18072,ce40cb9568613fb0918415ea48b57902f6dd502737d08359451fe69ff373c3b5
analysis/case_metadata_deidentified_recomputed.csv,35924,ac34defcd345451fd6230bf3ca8d282c07537d0de621e48fff6b52923f472788
analysis/contract_burden_dimension_summary.csv,2790,eb8421ae29c81728569a139dd8ddc3f48f2b884dc7a01a28284fd2a1686d5048
analysis/contract_burden_outcome_associations.csv,4449,b449163439ce73889f4840a1f5b95b3b69530dda7c5fb80e1fcc06c7b42cf186
analysis/failure_flag_summary_by_model.csv,9565,83780d3cc2ef5e849b9e9a61edf708b21da1df3b78b9487a2758f75ac206fa6f
analysis/failure_mode_summary_by_model.csv,4216,13554b5f1f3e04592d457a17ca34041d658739bc973ef7f41b355d88a92cb8d2
analysis/friction_v0_2/CROSSWALK_BOUNDARY_AUDIT.json,1715,e09af29d01743197b3aae6c171fc80ee4eddefef4c2ff269e2b4838c581b57eb
analysis/friction_v0_2/MANUSCRIPT_VALUE_AUDIT.json,10454,d77a640bfe3aba8755a7903e2e03e6ecb807b778e5804a5566bb9fa4741adc81
