metric	evaluator_1	evaluator_2	pair_class	n_cases_total	n_cases_defined	mean_rho	median_rho	median_case_bootstrap_ci_low	median_case_bootstrap_ci_high	q1_rho	q3_rho	rho_ge_0_5_rate	rho_ge_0_7_rate	negative_rho_rate
FCC	Resident physician	Attending physician	physician_title_vs_physician_title	120	120	0.22510134081688626	0.24242424242424238	0.18787878787878787	0.32121212121212117	-0.01212121212121212	0.4905009019656145	0.25	0.08333333333333333	0.25833333333333336
FCC	Resident physician	Associate-chief/chief physician	physician_title_vs_physician_title	120	120	0.3476780616256457	0.35061293010983696	0.2901732164091825	0.43697479297663117	0.1311070365741428	0.5655592944034692	0.3416666666666667	0.14166666666666666	0.13333333333333333
FCC	Resident physician	GPT-5.5	physician_title_vs_llm_judge	120	120	0.5087184678147464	0.5300048543393001	0.49386479832479485	0.5557450115684359	0.37101412185495963	0.6746911434872107	0.575	0.225	0.03333333333333333
FCC	Resident physician	GPT-5.6-Sol	physician_title_vs_llm_judge	120	120	0.49808915123844527	0.538270590456257	0.44072431633407244	0.5932749454139312	0.30979659773035195	0.6969696969696969	0.525	0.24166666666666667	0.025
FCC	Resident physician	DeepSeek-V4-Pro	physician_title_vs_llm_judge	120	119	0.1711731448790385	0.1945297739776207	0.13582576087238327	0.2613993837824278	-0.02142679984779276	0.39079105940595626	0.08403361344537816	0.025210084033613446	0.2773109243697479
FCC	Resident physician	GLM-5	physician_title_vs_llm_judge	120	120	0.18587239551050447	0.21580646800642295	0.14984779549114757	0.2909286827258562	-0.048019335521731	0.4251690997129418	0.16666666666666666	0.075	0.275
FCC	Attending physician	Associate-chief/chief physician	physician_title_vs_physician_title	120	120	0.3903723897597029	0.39999999999999997	0.33332380790140903	0.4962193367666221	0.1720772089756748	0.6606109165990157	0.4	0.16666666666666666	0.13333333333333333
FCC	Attending physician	GPT-5.5	physician_title_vs_llm_judge	120	120	0.4390517704733138	0.4795166291475649	0.43898070008709	0.5151515151515151	0.2779092307514405	0.6550182233152696	0.4583333333333333	0.2	0.1
FCC	Attending physician	GPT-5.6-Sol	physician_title_vs_llm_judge	120	120	0.43667818462260155	0.4787878787878787	0.424897377097332	0.5272727272727272	0.26939100729105947	0.632702909436304	0.48333333333333334	0.16666666666666666	0.075
FCC	Attending physician	DeepSeek-V4-Pro	physician_title_vs_llm_judge	120	119	0.21011050234729065	0.2626282677819034	0.16912022379123617	0.32517785314411984	0.006145002870182562	0.4505390014896924	0.21008403361344538	0.058823529411764705	0.23529411764705882
FCC	Attending physician	GLM-5	physician_title_vs_llm_judge	120	120	0.17625699945652673	0.2253026791546775	0.14024650966339397	0.3359194830928095	-0.08510677611520905	0.45744892161924855	0.2	0.058333333333333334	0.30833333333333335
FCC	Associate-chief/chief physician	GPT-5.5	physician_title_vs_llm_judge	120	120	0.5834001422978508	0.633273434563741	0.5796365500928298	0.6948641812191958	0.43131446520976613	0.7931137450611219	0.6666666666666666	0.4	0.041666666666666664
